"","Country.Name","Country.Code","CapitaGrowth","oil","population","tax_rev","Polity","Ethnic","violence","l_violence","l_pop","GDPpc","l_GDPpc"
"15","Belgium","BEL",3.18713112280309,0,10421137,25.37625021,10,0.5554,2.1,1.1314021114911,16.1593467054192,35589.68912,10.4798112434282
"16","Benin","BEN",1.33785333558491,0,7750004,14.63589688,6,0.7872,7,2.07944154167984,15.8632039174584,583.4093514,6.36888908644468
"17","Burkina Faso","BFA",1.4641414001655,NA,13030569,12.69900946,0,0.7377,0.6,0.470003629245736,16.382808616605,371.3230865,5.91707253673461
"18","Bangladesh","BGD",3.53516883254331,0,141307489,7.046448418,6,0.0454,2.5,1.25276296849537,18.766448846958,460.7579167,6.13287277860525
"19","Bulgaria","BGR",7.36288769933647,0.0283381829752915,7716860,21.10554956,9,0.4021,2.6,1.28093384546206,15.8589181035102,3381.507837,8.12607699462284
"20","Bahrain","BHR",0.388553333583516,2.92704527678646,829848,4.216838363,-7,0.5021,0.5,0.405465108108164,13.6289978304719,15846.47641,9.67070244607388
"21","Bahamas, The","BHS",-1.23783147746018,NA,322526,12.03430079,NA,NA,15.8,2.82137888640921,12.6839390321234,21996.40649,9.99863437763516
"22","Bosnia and Herzegovina","BIH",6.04275894296026,0,3781287,NA,NA,0.63,NA,NA,15.1455749858374,2650.642661,7.88255740316351
"23","Belarus","BLR",12.2126181426676,1.19249353490907,9730146,18.3713469,-7,0.3222,8.6,2.26176309847379,16.0907394591884,2378.339207,7.7741577108964
"24","Belize","BLZ",2.01268598915331,NA,276089,19.6634102,NA,0.7015,28.6,3.38777436133001,12.5284785564871,3831.538019,8.25102157310689
"25","Bermuda","BMU",1.65507059338414,NA,63740,NA,NA,NA,3.1,1.41098697371026,11.0625675879713,70359.31911,11.1613705215733
"26","Bolivia","BOL",2.34578439817442,4.36275706834052,8967741,15.01634882,8,0.7396,7.2,2.10413415427021,16.0091443628532,978.3346485,6.8858517878862
